"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","287","test_ilcarro_login_button[chromium]","tests_playwright","2026-09-12","passed","2026-09-12","","test_ilcarro_pw","",""
"","963","test_login_success","tests","2026-09-12","passed","2026-09-12","","test_login","",""
"","643","test_api_car_lifecycle","tests","2026-09-12","passed","2026-09-12","","test_api_car","",""
"","860","test_registration_negative_fields[email-tonygmail.com-Wrong email format]","tests","2026-09-12","passed","2026-09-12","","test_registration","",""
"","344","test_search_dates_readonly_protection","tests","2026-09-12","passed","2026-09-12","","test_search","",""
"","916","test_registration_without_check_box","tests","2026-09-12","passed","2026-09-12","","test_registration","",""
"","5579","test_calendar_ui_and_close","tests","2026-09-12","passed","2026-09-12","","test_calendar","",""
"","838","test_registration_negative_fields[password-P123$-Password must contain minimum 6 symbols]","tests","2026-09-12","passed","2026-09-12","","test_registration","",""
"","967","test_login_wrong_password","tests","2026-09-12","passed","2026-09-12","","test_login","",""
"","1310","test_registration_success","tests","2026-09-12","passed","2026-09-12","","test_registration","",""
"","728","test_calendar_month_navigation","tests","2026-09-12","passed","2026-09-12","","test_calendar","",""
"","829","test_registration_negative_fields[last_name--Last name is required]","tests","2026-09-12","passed","2026-09-12","","test_registration","",""
"","465","test_search_empty_city_validation","tests","2026-09-12","passed","2026-09-12","","test_search","",""
"","200","test_api_add_car_success","tests","2026-09-12","passed","2026-09-12","","test_api_car","",""
"","136","test_api_add_car_beersheba_bug","tests","2026-09-12","skipped","2026-09-12","","test_api_car","",""
"","3887","test_ilcarro_login[chromium]","tests_playwright","2026-09-12","passed","2026-09-12","","test_ilcarro_pw","",""
"","898","test_login_unregistered_user","tests","2026-09-12","passed","2026-09-12","","test_login","",""
"","385","test_clear_my_garage","tests","2026-09-12","passed","2026-09-12","","test_api_car","",""
"","435","test_api_car_booking_flow","tests","2026-09-12","passed","2026-09-12","","test_api_car","",""
"","18078","test_add_car_success","tests","2026-09-12","skipped","2026-09-12","","test_add_car","",""
"","613","test_login_empty_password","tests","2026-09-12","passed","2026-09-12","","test_login","",""
"","5954","test_search_form_dynamic","tests","2026-09-12","passed","2026-09-12","","test_search","",""
"","1313","test_hybrid_car_search","tests","2026-09-12","passed","2026-09-12","","test_hybrid_search","",""
"","876","test_registration_negative_fields[name--Name is required]","tests","2026-09-12","passed","2026-09-12","","test_registration","",""
"","569","test_login_invalid_email_format","tests","2026-09-12","passed","2026-09-12","","test_login","",""
"","838","test_registration_negative_fields[password--Password is required]","tests","2026-09-12","passed","2026-09-12","","test_registration","",""
"","566","test_calendar_past_navigation_blocked","tests","2026-09-12","passed","2026-09-12","","test_calendar","",""
"","108","test_api_add_car_unauthorized","tests","2026-09-12","passed","2026-09-12","","test_api_car","",""
"","885","test_registration_negative_fields[email--Email is required]","tests","2026-09-12","passed","2026-09-12","","test_registration","",""
"","495","test_navigation_to_registration","tests","2026-09-12","passed","2026-09-12","","test_registration","",""
