"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","25","0","","0"
"0","API Testing","0","Registration","4","3","","0"
"0","UI Testing (Playwright)","0","Registration Page","5","3","Edge Cases & Sanitization","0"
"0","UI Testing (Playwright)","0","Registration Page","0","3","Accessibility (A11y)","0"
"0","iCarro Platform","0","User Registration API","3","1","Security & Sanitization","0"
"0","UI Testing (Playwright)","0","Registration Page","1","0","Keyboard / Tab Order","0"
"0","API Compliance & Bug Tracking","0","Registration Validation Mismatches","2","0","UI vs Backend Min Length Mismatch","0"
"0","UI Testing (Playwright)","0","Registration Page","6","1","Negative Registration - Fields Validation","0"
"0","iCarro Platform","0","User Registration & Verification","1","0","Post-condition check","0"
"0","UI Testing (Playwright)","0","Login Module","2","2","Negative Login - Invalid Credentials","0"
"0","UI Testing (Playwright)","0","Search Module","1","0","Positive Search","0"
"0","UI Testing Playwright","0","Calendar Component","1","0","Calendar Navigation","0"
"0","UI Testing (Playwright)","0","Registration Page","1","0","Positive Registration","0"
"0","UI Testing Playwright","0","Calendar Component","1","0","Calendar UI and Dismissal","0"
"0","UI Testing Playwright","0","Add Car Page (Let the car work)","1","0","Positive Add Car","0"
"0","Contract Testing","0","API & UI Consistency","0","1","Check cities synchronization between Frontend DOM and Swagger API","0"
"0","iCarro Platform","0","User Registration API","1","0","Duplicate Handling","0"
"0","UI Testing (Playwright)","0","Registration Page","1","0","Navigation","0"
"0","UI Testing (Playwright)","0","Login Module","1","0","Navigation","0"
"0","UI Testing (Playwright)","0","Search Module","0","1","Negative Search","0"
"0","UI Testing (Playwright)","0","Registration Page","1","0","Negative Registration - Checkbox","0"
"0","UI Testing Playwright","0","Calendar Component","1","0","Negative Calendar UI - Past Dates Blocked","0"
"0","iCarro Platform","0","User Registration API","1","0","Server-side Contract & Input Validation","0"
"0","UI/API Hybrid Testing Playwright","0","Search functionality","0","1","API Setup -> Broken UI Filter Interaction -> API Teardown","0"
"0","UI Testing (Playwright)","0","Registration Page","1","0","Keyboard / UX","0"
"0","UI Testing (Playwright)","0","Login Module","0","1","UI State Consistency","0"
"0","UI Testing (Playwright)","0","Registration Page","0","1","Post-Registration Navigation","0"
"0","API Compliance & Bug Tracking","0","Security & Input Constraints","1","0","Missing Max Length Validation","0"
