"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1596","Проверка отправки пробелов в Name/LastName и перехват ошибки 400 Bad Request от бэкенда","tests_playwright","2026-09-26","passed","2026-09-26","","test_registration","",""
"
    Проверка расхождения между UI и Backend по минимальной длине пароля:
    На UI отображается 'минимум 6 символов', но бэкенд возвращает 400 Bad Request,
    так как на самом деле требует минимум 8 символов.
    ","152","test_ui_backend_min_length_mismatch[chromium-6]","tests_playwright","2026-09-26","passed","2026-09-26","","test_password_missmathes_and_bugs","",""
"","2944","test_search_car_by_city[chromium]","tests_playwright","2026-09-26","passed","2026-09-26","","test_search","",""
"","1680","Validatsiya obyazatelnyh poley i nekorrektnyh formatov","tests_playwright","2026-09-26","passed","2026-09-26","","test_registration","",""
"","6714","Validatsiya obyazatelnyh poley i nekorrektnyh formatov","tests_playwright","2026-09-26","skipped","2026-09-26","","test_registration","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","351","test_dropdown_with_matching_cities[chromium-Sderot]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ui_cities_dropdown","",""
"","1303","Proverka obrabotki probelov (whitespace) i UX-sanitizacii poley","tests_playwright","2026-09-26","passed","2026-09-26","","test_registration","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","381","test_dropdown_with_matching_cities[chromium-Tel Aviv]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ui_cities_dropdown","",""
"","2856","Bug: Ostavanie na pustoy stranice registracii posle uspeshnogo avtomaticheskogo logina","tests_playwright","2026-09-26","skipped","2026-09-26","","test_registration","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","402","test_dropdown_with_matching_cities[chromium-Hadera]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ui_cities_dropdown","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","458","test_dropdown_with_matching_cities[chromium-Dimona]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ui_cities_dropdown","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","341","test_dropdown_with_matching_cities[chromium-Netanya]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ui_cities_dropdown","",""
"","1050","Проверка последовательности перехода фокуса по клавише Tab","tests_playwright","2026-09-26","passed","2026-09-26","","test_TAB_order_(UX, A11y)","",""
"","300","test_password_boundary[chromium-500-400]","tests_playwright","2026-09-26","skipped","2026-09-26","","test_boundary_password_empirical","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","360","test_dropdown_with_matching_cities[chromium-Ashdod]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ui_cities_dropdown","",""
"","1614","Validatsiya obyazatelnyh poley i nekorrektnyh formatov","tests_playwright","2026-09-26","passed","2026-09-26","","test_registration","",""
"","5387","UI: Проверка атрибута aria-invalid у полей при невалидном вводе","tests_playwright","2026-09-26","skipped","2026-09-26","","test_area_invalid_(UX, A11y)","",""
"","378","Прямое открытие формы авторизации","tests_playwright","2026-09-26","passed","2026-09-26","","test_login","",""
"","321","test_api_registration_security_and_edge_cases[chromium-xss_firstname]","tests_playwright","2026-09-26","skipped","2026-09-26","","test_xss_injections_api","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","338","test_dropdown_with_matching_cities[chromium-Nazareth]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ui_cities_dropdown","",""
"","36521","test_search_non_existent_city[chromium]","tests_playwright","2026-09-26","skipped","2026-09-26","","test_search","",""
"","2407","Авторизация с неверными или несуществующими учетными данными","tests_playwright","2026-09-26","passed","2026-09-26","","test_login","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","380","test_dropdown_with_matching_cities[chromium-Bnei Brak]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ui_cities_dropdown","",""
"","400","test_calendar_past_navigation_blocked[chromium]","tests_playwright","2026-09-26","passed","2026-09-26","","test_calendar","",""
"","314","test_api_registration_security_and_edge_cases[chromium-apostrophe_names]","tests_playwright","2026-09-26","passed","2026-09-26","","test_xss_injections_api","",""
"","1219","Proverka obrabotki probelov (whitespace) i UX-sanitizacii poley","tests_playwright","2026-09-26","passed","2026-09-26","","test_registration","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","356","test_dropdown_with_matching_cities[chromium-Eilat]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ui_cities_dropdown","",""
"","1678","Validatsiya obyazatelnyh poley i nekorrektnyh formatov","tests_playwright","2026-09-26","passed","2026-09-26","","test_registration","",""
"","323","test_password_boundary[chromium-256-expected_status5]","tests_playwright","2026-09-26","passed","2026-09-26","","test_boundary_password_empirical","",""
"","1875","Validatsiya obyazatelnyh poley i nekorrektnyh formatov","tests_playwright","2026-09-26","passed","2026-09-26","","test_registration","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","328","test_dropdown_with_matching_cities[chromium-Givatayim]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ui_cities_dropdown","",""
"","2747","Отправка формы регистрации нажатием клавиши Enter из последнего поля","tests_playwright","2026-09-26","passed","2026-09-26","","test_submit_by_enter(Keyboard,UX,A11y)","",""
"","444","API: Регистрация нового юзера с последующей проверкой авторизации (Post-condition)","tests_playwright","2026-09-26","passed","2026-09-26","","test_postCondition_user_check_registration","",""
"","2276","Uspeshnaya registratsiya novogo polzovatelya (End-to-End)","tests_playwright","2026-09-26","passed","2026-09-26","","test_registration","",""
"Тест проверки соответствия списков между бэкендом и фронтендом","0","test_compare_lists[chromium]","tests_playwright","2026-09-26","passed","2026-09-26","","test_api_and_frontend_city_lists","",""
"
    Проверка расхождения между UI и Backend по минимальной длине пароля:
    На UI отображается 'минимум 6 символов', но бэкенд возвращает 400 Bad Request,
    так как на самом деле требует минимум 8 символов.
    ","184","test_ui_backend_min_length_mismatch[chromium-7]","tests_playwright","2026-09-26","passed","2026-09-26","","test_password_missmathes_and_bugs","",""
"","406","test_ilcarro_login_button[chromium]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ilcarro_pw","",""
"","1801","Proverka obyazatelnosti chekboksa polzovatelskogo soglasheniya","tests_playwright","2026-09-26","passed","2026-09-26","","test_registration","",""
"","139","test_password_boundary[chromium-6-200]","tests_playwright","2026-09-26","skipped","2026-09-26","","test_boundary_password_empirical","",""
"","1592","Validatsiya obyazatelnyh poley i nekorrektnyh formatov","tests_playwright","2026-09-26","passed","2026-09-26","","test_registration","",""
"","5609","UI: Проверка атрибута aria-invalid у полей при невалидном вводе","tests_playwright","2026-09-26","skipped","2026-09-26","","test_area_invalid_(UX, A11y)","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","390","test_dropdown_with_matching_cities[chromium-Holon]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ui_cities_dropdown","",""
"","2053","Proverka trim-a probelov dlya firstName i lastName (Ozhidaem ochistku)","tests_playwright","2026-09-26","skipped","2026-09-26","","test_registration","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","381","test_dropdown_with_matching_cities[chromium-Rehovot]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ui_cities_dropdown","",""
"","1120","Validatsiya obyazatelnyh poley i nekorrektnyh formatov","tests_playwright","2026-09-26","passed","2026-09-26","","test_registration","",""
"","36506","test_hybrid_car_search_broken_form[chromium]","tests_playwright","2026-09-26","skipped","2026-09-26","","test_hybrid_search","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","384","test_dropdown_with_matching_cities[chromium-Petah Tikva]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ui_cities_dropdown","",""
"","2634","Авторизация с неверными или несуществующими учетными данными","tests_playwright","2026-09-26","passed","2026-09-26","","test_login","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","314","test_dropdown_with_matching_cities[chromium-Ashkelon]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ui_cities_dropdown","",""
"","282","test_password_boundary[chromium-100-expected_status4]","tests_playwright","2026-09-26","passed","2026-09-26","","test_boundary_password_empirical","",""
"","6695","Proverka obrabotki probelov (whitespace) i UX-sanitizacii poley","tests_playwright","2026-09-26","skipped","2026-09-26","","test_registration","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","367","test_dropdown_with_matching_cities[chromium-Herzliya]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ui_cities_dropdown","",""
"Этот тест проверяет строгое соответствие списков городов на фронтенде (UI) и в бэкенде (Swagger API). При наличии расхождений тест падает и прикрепляет готовые JSON-файлы с расхождениями для составления bug-report'а.","1","Contract Bug: Detect synchronization mismatches between UI and Swagger cities","tests_playwright","2026-09-26","skipped","2026-09-26","","test_contract","",""
"","175","test_password_boundary[chromium-7-200]","tests_playwright","2026-09-26","skipped","2026-09-26","","test_boundary_password_empirical","",""
"","332","Navigatsiya so stranicy na formu registracii","tests_playwright","2026-09-26","passed","2026-09-26","","test_registration","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","495","test_dropdown_with_matching_cities[chromium-Tiberias]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ui_cities_dropdown","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","546","test_dropdown_with_matching_cities[chromium-Haifa]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ui_cities_dropdown","",""
"
    **Проверка серверного контракта эндпоинта /v1/user/registration/usernamepassword**

    Цель: Отправить POST-запрос с пробелами (`""   ""`) в поле `username` напрямую в бэкенд, 
    минуя UI-валидацию, и убедиться, что сервер корректно отклоняет данные (статус 400).
    ","189","API: Регистрация с пробелами в username — проверка ответа 400 Bad Request","tests_playwright","2026-09-26","passed","2026-09-26","","test_registration_api","",""
"","2918","Proverka otpravki probelov i perehvat Network Payload","tests_playwright","2026-09-26","passed","2026-09-26","","test_registration","",""
"","319","test_password_boundary[chromium-8-expected_status3]","tests_playwright","2026-09-26","passed","2026-09-26","","test_boundary_password_empirical","",""
"","207","test_api_registration_security_and_edge_cases[chromium-short_password]","tests_playwright","2026-09-26","passed","2026-09-26","","test_xss_injections_api","",""
"","2248","Proverka avtomaticheskogo trim-a probelov dlya email","tests_playwright","2026-09-26","passed","2026-09-26","","test_registration","",""
"","6070","Авторизация с неверными или несуществующими учетными данными","tests_playwright","2026-09-26","skipped","2026-09-26","","test_login","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","333","test_dropdown_with_matching_cities[chromium-Bat Yam]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ui_cities_dropdown","",""
"","4272","test_add_car_success[chromium]","tests_playwright","2026-09-26","passed","2026-09-26","","test_add_car","",""
"","5659","UI: Проверка атрибута aria-invalid у полей при невалидном вводе","tests_playwright","2026-09-26","skipped","2026-09-26","","test_area_invalid_(UX, A11y)","",""
"
    Проверка отсутствия ограничения максимальной длины пароля (Max Length):
    Бэкенд успешно принимает пароль из 500 символов и возвращает 200 OK.
    ","250","test_password_max_length_absence[chromium]","tests_playwright","2026-09-26","passed","2026-09-26","","test_password_missmathes_and_bugs","",""
"","529","test_calendar_month_navigation[chromium]","tests_playwright","2026-09-26","passed","2026-09-26","","test_calendar","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","391","test_dropdown_with_matching_cities[chromium-Kfar Saba]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ui_cities_dropdown","",""
"","5903","Авторизация с неверными или несуществующими учетными данными","tests_playwright","2026-09-26","skipped","2026-09-26","","test_login","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","359","test_dropdown_with_matching_cities[chromium-Rishon LeZion]","tests_playwright","2026-09-26","passed","2026-09-26","","test_ui_cities_dropdown","",""
"","6748","Proverka obrabotki probelov (whitespace) i UX-sanitizacii poley","tests_playwright","2026-09-26","skipped","2026-09-26","","test_registration","",""
"","334","API: Попытка повторной регистрации существующего пользователя (Duplicate)","tests_playwright","2026-09-26","passed","2026-09-26","","test_duplicate_user_api","",""
